,Loan_ID,Loan_Status
113,LP001591,No
114,LP001599,No
115,LP001601,No
116,LP001607,No
117,LP001611,No
118,LP001613,No
119,LP001622,No
120,LP001627,No
121,LP001650,No
122,LP001651,No
123,LP001652,No
124,LP001655,No
125,LP001660,No
126,LP001662,Yes
127,LP001663,No
128,LP001667,Yes
129,LP001695,No
130,LP001703,No
131,LP001718,No
132,LP001728,No
133,LP001735,No
134,LP001737,No
135,LP001739,Yes
136,LP001742,No
137,LP001757,No
138,LP001769,No
139,LP001771,Yes
140,LP001785,Yes
141,LP001787,No
142,LP001789,No
143,LP001791,No
144,LP001794,Yes
145,LP001797,No
146,LP001815,Yes
147,LP001817,No
148,LP001818,No
149,LP001822,No
150,LP001827,No
151,LP001831,No
152,LP001842,No
153,LP001853,No
154,LP001855,No
155,LP001857,No
156,LP001862,No
157,LP001867,No
158,LP001878,No
159,LP001881,No
160,LP001886,No
161,LP001906,No
162,LP001909,Yes
163,LP001911,Yes
164,LP001921,No
165,LP001923,No
166,LP001933,No
167,LP001943,No
168,LP001950,No
169,LP001959,Yes
170,LP001961,No
171,LP001973,Yes
172,LP001975,Yes
173,LP001979,No
174,LP001995,No
175,LP001999,No
176,LP002007,No
177,LP002009,Yes
178,LP002016,No
179,LP002017,No
180,LP002018,No
181,LP002027,No
182,LP002028,No
183,LP002042,No
184,LP002045,No
185,LP002046,No
186,LP002047,No
187,LP002056,No
188,LP002057,No
189,LP002059,No
190,LP002062,No
191,LP002064,No
192,LP002069,No
193,LP002070,No
194,LP002077,No
195,LP002083,Yes
196,LP002090,No
197,LP002096,No
198,LP002099,No
199,LP002102,No
200,LP002105,No
201,LP002107,No
202,LP002111,No
203,LP002117,No
204,LP002118,No
205,LP002123,No
206,LP002125,No
207,LP002148,No
208,LP002152,No
209,LP002165,No
210,LP002167,No
211,LP002168,No
212,LP002172,Yes
213,LP002176,Yes
214,LP002183,No
215,LP002184,No
216,LP002186,No
217,LP002192,No
218,LP002195,No
219,LP002208,No
220,LP002212,No
221,LP002240,No
222,LP002245,No
223,LP002253,No
224,LP002256,No
225,LP002257,No
226,LP002264,No
227,LP002270,No
228,LP002279,No
229,LP002286,No
230,LP002294,No
231,LP002298,No
232,LP002306,No
233,LP002310,No
234,LP002311,No
235,LP002316,No
236,LP002321,No
237,LP002325,No
238,LP002326,No
239,LP002329,Yes
240,LP002333,Yes
241,LP002339,No
242,LP002344,No
243,LP002346,No
244,LP002354,No
245,LP002355,No
246,LP002358,No
247,LP002360,Yes
248,LP002375,Yes
249,LP002376,No
250,LP002383,No
251,LP002385,Yes
252,LP002389,No
253,LP002394,No
254,LP002397,No
255,LP002399,Yes
256,LP002400,No
257,LP002402,No
258,LP002412,No
259,LP002415,No
260,LP002417,No
261,LP002420,No
262,LP002425,No
263,LP002433,No
264,LP002440,No
265,LP002441,No
266,LP002442,No
267,LP002445,No
268,LP002450,No
269,LP002471,No
270,LP002476,No
271,LP002482,No
272,LP002485,No
273,LP002495,No
274,LP002496,Yes
275,LP002523,No
276,LP002542,No
277,LP002550,No
278,LP002551,No
279,LP002553,No
280,LP002554,No
281,LP002561,No
282,LP002566,Yes
283,LP002568,No
284,LP002570,No
285,LP002572,No
286,LP002581,No
287,LP002584,No
288,LP002592,No
289,LP002593,No
290,LP002599,No
291,LP002604,No
292,LP002605,Yes
293,LP002609,No
294,LP002610,No
295,LP002612,Yes
296,LP002614,Yes
297,LP002630,No
298,LP002635,No
299,LP002639,No
300,LP002644,No
301,LP002651,No
302,LP002654,No
303,LP002657,No
304,LP002711,No
305,LP002712,No
306,LP002721,No
307,LP002735,No
308,LP002744,No
309,LP002745,No
310,LP002746,No
311,LP002747,No
312,LP002754,No
313,LP002759,Yes
314,LP002760,No
315,LP002766,No
316,LP002769,Yes
317,LP002774,No
318,LP002775,No
319,LP002781,No
320,LP002782,No
321,LP002786,No
322,LP002790,Yes
323,LP002791,No
324,LP002793,Yes
325,LP002802,No
326,LP002803,No
327,LP002805,No
328,LP002806,No
329,LP002816,No
330,LP002823,No
331,LP002825,No
332,LP002826,No
333,LP002843,No
334,LP002849,No
335,LP002850,No
336,LP002853,No
337,LP002856,No
338,LP002857,No
339,LP002858,No
340,LP002860,No
341,LP002867,No
342,LP002869,No
343,LP002870,Yes
344,LP002876,Yes
345,LP002878,No
346,LP002879,No
347,LP002885,Yes
348,LP002890,No
349,LP002891,No
350,LP002899,No
351,LP002901,No
352,LP002907,No
353,LP002920,No
354,LP002921,No
355,LP002932,No
356,LP002935,No
357,LP002952,Yes
358,LP002954,No
359,LP002962,No
360,LP002965,No
361,LP002969,No
362,LP002971,No
363,LP002975,No
364,LP002980,No
365,LP002986,No
366,LP002989,No
